Text,Label
we present a quantum monte carlo study of the quantum correlations in the parametric luminescence from semiconductor microcavities in the strong excitonphoton coupling regime as already demonstrated in recent experiments a ringshaped emission is obtained by applying two identical pump beams with opposite inplane wavevectors providing symmetrical signal and idler beams with opposite inplane wavevectors on the ring we study the squeezing of the signalidler difference noise across the parametric instability threshold accounting for the radiative and nonradiative losses multiple scattering and static disorder we compare the results of the complete multimode monte carlo simulations with a simplified linearized quantum langevin analytical model,0
it is shown that nonlocal interactions determine energy spectrum in isotropic turbulence at small reynolds numbers it is also shown that for moderate reynolds numbers the bottleneck effect is determined by the same nonlocal interactions role of the large and small scales covariance at the nonlocal interactions and in energy balance has been investigated a possible hydrodynamic mechanism of the nonlocal solution instability at large scales has been briefly discussed a quantitative relationship between effective strain of the nonlocal interactions and viscosity has been found all results are supported by comparison with the data of experiments and numerical simulations,0
using particle system methodologies we study the propagation of financial distress in a network of firms facing credit risk we investigate the phenomenon of a credit crisis and quantify the losses that a bank may suffer in a large credit portfolio applying a large deviation principle we compute the limiting distributions of the system and determine the time evolution of the credit quality indicators of the firms deriving moreover the dynamics of a global financial health indicator we finally describe a suitable version of the central limit theorem useful to study large portfolio losses simulation results are provided as well as applications to portfolio loss distribution analysis,0
in 1980 jimbo and miwa evaluated the diagonal twopoint correlation function of the square lattice ising model as a taufunction of the sixth painleve system by constructing an associated isomonodromic system within their theory of holonomic quantum fields more recently an alternative isomonodromy theory was constructed based on biorthogonal polynomials on the unit circle with regular semiclassical weights for which the diagonal ising correlations arise as the leading coefficient of the polynomials specialised appropriately here we demonstrate that the nexttodiagonal correlations of the anisotropic ising model are evaluated as one of the elements of this isomonodromic system or essentially as the cauchyhilbert transform of one of the biorthogonal polynomials,0
the carrier spin coherence in a pdoped gaasalgaas quantum well with a diluted hole gas has been studied by picosecond pumpprobe kerr rotation with an inplane magnetic field for resonant optical excitation of the positively charged exciton the spin precession shows two types of oscillations fast oscillating electron spin beats decay with the radiative lifetime of the charged exciton of 50 ps long lived spin coherence of the holes with dephasing times up to 650 ps the spin dephasing time as well as the inplane hole g factor show strong temperature dependence underlining the importance of hole localization at cryogenic temperatures,0
the large hadron collider a 7  7 tev protonproton collider under construction at cern the european laboratory for particle physics in geneva will take experiments squarely into a new energy domain where mysteries of the electroweak interaction will be unveiled what marks the 1tev scale as an important target why is understanding how the electroweak symmetry is hidden important to our conception of the world around us what expectations do we have for the agent that hides the electroweak symmetry why do particle physicists anticipate a great harvest of discoveries within reach of the lhc,0
we subject the phenomenologically successful large volume scenario of hepth0502058 to a first consistency check in string theory in particular we consider whether the expansion of the string effective action is consistent in the presence of dbranes and oplanes due to the noscale structure at treelevel the scenario is surprisingly robust we compute the modification of soft supersymmetry breaking terms and find only subleading corrections we also comment that for largevolume limits of toroidal orientifolds and fibered calabiyau manifolds the corrections can be more important and we discuss further checks that need to be performed,0
we present the first highresolution groundbased observations of hcn and c2h2 toward the t tauri binary star system gv tau we detected strong absorption due to hcn nu_3 and weak c2h2 nu_3 and nu_2  nu_4  nu_50_ absorption toward the primary gv tau s but not the infrared companion we also report co column densities and rotational temperatures and present abundances relative to co of hcnco 06 and c2h2co 12 and an upper limit for ch4co  037 toward gv tau s neither hcn nor c2h2 were detected toward the infrared companion and results suggest that abundances may differ between the two sources,0
we characterize a natural class of modular categories of prime power frobeniusperron dimension as representation categories of twisted doubles of finite pgroups we also show that a nilpotent braided fusion category c admits an analogue of the sylow decomposition if the simple objects of c have integral frobeniusperron dimensions then c is grouptheoretical as a consequence we obtain that semisimple quasihopf algebras of prime power dimension are grouptheoretical our arguments are based on a reconstruction of twisted group doubles from lagrangian subcategories of modular categories this is reminiscent to the characterization of doubles of quasilie bialgebras in terms of manin pairs,0
in this paper i am presenting an overview on several topics related to nonequilibrium fluctuations in small systems i start with a general discussion about fluctuation theorems and applications to physical examples extracted from physics and biology a bead in an optical trap and single molecule force experiments next i present a general discussion on path thermodynamics and consider distributions of workheat fluctuations as large deviation functions then i address the topic of glassy dynamics from the perspective of nonequilibrium fluctuations due to small cooperatively rearranging regions finally i conclude with a brief digression on future perspectives,0
the gravitational field equations on cosmological scales are obtained by averaging the einstein field equations of general relativity by assuming spatial homogeneity and isotropy on the largest scales the local inhomogeneities affect the dynamics though correction backreaction terms which can lead to behaviour qualitatively and quantitatively different from the friedmannlemaitrerobertsonwalker models the effects of averaging on cosmological observations are discussed it is argued that based on estimates from observational data the backreaction and in particular the averaged spatial curvature can have a very significant dynamical effect on the evolution of the universe and must be taken into account in observational cosmology,0
in this paper we present the necessary and sufficient conditions of separability for bipartite pure states in infinite dimensional hilbert spaces let m be the matrix of the amplitudes of ketpsi we prove m is a compact operator we also prove ketpsi is separable if and only if m is a bounded linear operator with rank 1 that is the image of m is a one dimensional hilbert space so we have related the separability for bipartite pure states in infinite dimensional hilbert spaces to an important class of bounded linear operators in functional analysis which has many interesting properties,0
a quantitative theory of the buckling of a worm like chain based on a semiclassical approximation of the partition function is presented the contribution of thermal fluctuations to the forceextension relation that allows to go beyond the classical euler buckling is derived in the linear and nonlinear regime as well it is shown that the thermal fluctuations in the nonlinear buckling regime increase the endtoend distance of the semiflexible rod if it is confined to 2 dimensions as opposed to the 3 dimensional case our approach allows a complete physical understanding of buckling in d2 and in d3 below and above the euler transition,0
the measurement of the flavor composition of the neutrino fluxes from astrophysical sources has been proposed as a method to study not only the nature of their emission mechanisms but also the neutrino fundamental properties it is however problematic to reconcile these two goals since a sufficiently accurate understanding of the neutrino fluxes at the source is needed to extract information about the physics of neutrino propagation in this work we discuss critically the expectations for the flavor composition and energy spectrum from different types of astrophysical sources and comment on the theoretical uncertainties connected to our limited knowledge of their structure,0
sensitivity to temporal variation of the fundamental constants may be strongly enhanced in transitions between narrow close levels of different nature this enhancement may be realized in a large number of molecules due to cancelation between the ground state fine structure omega_f and vibrational interval omega_v omegaomega_f  n omega_v is close to zero delta omegaomega k 2 delta alphaalpha 05 delta mumu k 1 mum_pm_e the intervals between the levels are conveniently located in microwave frequency range and the level widths are very small required accuracy of the shift measurements is about 0011 hz as examples we consider molecules cl_2 cus irc sibr and hff,0
we study the schwinger mechanism in qcd in the presence of an arbitrary timedependent chromoelectric background field eat with arbitrary color index a128 in su3 we obtain an exact result for the nonperturbative quark antiquark production from an arbitrary eat by directly evaluating the path integral we find that the exact result is independent of all the time derivatives fracdneatdtn where n12infty this result has the same functional dependence on two casimir invariants eateat and d_abceatebtect2 as the constant chromoelectric field ea result with the replacement ea rightarrow eat this result relies crucially on the validity of the shift conjecture which has not yet been established,0
